"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2016","33,380","3"
,,"2017","9,676","3"
,,"2018","3,247","4"
,,"2019","1,751","9"
,,"2020","465","5"
,,"2021","2,052","5"
,,"2022","30,264","7"
,,"2023","97,792","5"
,,"2024","67,102","F"
,"Construction  [23]","2007","60,877","42"
,,"2008","6,185","36"
,,"2009","3,702","40"
,,"2010","2,123","21"
,,"2011","9,711","25"
,,"2012","16,239","22"
,,"2013","4,324","21"
,,"2014","8,515","18"
,,"2015","12,535","20"
,,"2016","21,984","23"
,,"2017","12,732","28"
,,"2018","5,149","31"
,,"2019","5,225","27"
,,"2020","3,320","32"
,,"2021","9,763","34"
,,"2022","5,289","30"
,,"2023","4,427","31"
,,"2024","12,060","29"
,"Manufacturing  [31-33]","2007","2,654,600","343"
,,"2008","2,983,460","339"
,,"2009","2,567,919","326"
,,"2010","2,921,995","319"
,,"2011","2,958,407","297"
,,"2012","2,799,876","292"
,,"2013","2,707,991","297"
,,"2014","3,221,889","303"
,,"2015","3,668,229","292"
,,"2016","3,404,329","296"
,,"2017","3,246,957","293"
,,"2018","3,719,010","284"
,,"2019","3,718,078","287"
,,"2020","3,141,866","273"
,,"2021","3,990,747","282"
,,"2022","4,458,675","288"
,,"2023","4,435,971","300"
,,"2024","4,742,844","303"
,"Food manufacturing  [311]","2007","468,307","89"
,,"2008","457,514","83"
,,"2009","391,753","83"
,,"2010","396,524","83"
,,"2011","492,291","79"
,,"2012","585,743","75"
,,"2013","454,569","74"
,,"2014","536,547","79"
,,"2015","853,345","81"
,,"2016","882,492","74"
,,"2017","737,589","76"
,,"2018","850,969","77"
,,"2019","997,327","74"
,,"2020","993,904","75"
,,"2021","1,410,449","73"
,,"2022","1,684,857","74"
,,"2023","1,600,421","72"
,,"2024","1,662,199","67"
,"Beverage and tobacco product manufacturing  [312]","2007","2,606","3"
,,"2008","3,312","F"
,,"2009","1","F"
,,"2010","2,295","5"
,,"2011","262","5"
,,"2012","117","4"
,,"2013","1,410","7"
,,"2014","726","7"
,,"2015","1,590","6"
,,"2016","1,466","9"
,,"2017","777","10"
,,"2018","557","7"
,,"2019","760","9"
,,"2020","302","8"
,,"2021","1,784","11"
,,"2022","774","9"
,,"2023","1,990","7"
,,"2024","329","11"
,"Textile mills  [313]","2007","51,849","4"
,,"2008","50,257","4"
,,"2009","38,321","3"
,,"2010","22,590","F"
,,"2011","25,267","F"
,,"2012","23,301","F"
,,"2013","32,137","3"
,,"2014","25,906","3"
,,"2015","29,335","3"
,,"2016","27,878","3"
,,"2017","27,285","3"
,,"2018","24,654","F"
,,"2019","26,428","F"
,,"2020","29,336","F"
,,"2021","25,135","F"
,,"2022","24,910","F"
,,"2023","30,053","F"
,,"2024","28,351","F"
,"Textile product mills  [314]","2007","50,593","9"
,,"2008","48,522","9"
,,"2009","38,852","9"
,,"2010","103,652","8"
,,"2011","109,163","8"
,,"2012","37,064","6"
,,"2013","39,634","7"
,,"2014","41,157","7"
,,"2015","44,091","6"
,,"2016","36,227","5"
,,"2017","29,454","6"
,,"2018","28,576","5"
,,"2019","7,484","4"
,,"2020","7,351","4"
,,"2021","10,143","3"
,,"2022","9,348","6"
,,"2023","7,812","5"
,,"2024","7,063","6"
,"Apparel manufacturing  [315]","2007","5,839","5"
,,"2008","5,230","6"
,,"2009","5,929","6"
,,"2010","6,523","6"
,,"2011","7,016","6"
,,"2012","9,673","6"
,,"2013","6,289","5"
,,"2014","11,940","5"
,,"2015","13,682","6"
,,"2016","5,770","4"
,,"2017","5,943","3"
,,"2018","11,527","4"
,,"2019","4,843","4"
,,"2020","3,516","4"
,,"2021","4,967","6"
,,"2022","4,570","F"
,,"2023","3,866","7"
,,"2024","3,862","8"
,"Leather and allied product manufacturing  [316]","2007","2,026","4"
,,"2008","1,966","4"
,,"2009","1,799","4"
,,"2010","1,858","4"
,,"2011","75","F"
,,"2012","367","3"
,,"2013","149","3"
,,"2014","7,500","3"
,,"2015","3,741","3"
,,"2016","197","3"
,,"2017","289","F"
,,"2018","1,926","F"
,,"2019","3,345","3"
,,"2020","3,149","F"
,,"2021","4,376","F"
,,"2022","3,547","F"
,,"2023","4,017","F"
,,"2024","4,568","F"
,"Wood product manufacturing  [321]","2007","78,377","41"
,,"2008","81,526","35"
,,"2009","66,621","27"
,,"2010","96,171","27"
,,"2011","59,977","22"
,,"2012","40,328","22"
,,"2013","49,917","17"
,,"2014","57,102","23"
,,"2015","54,407","19"
,,"2016","55,885","22"
,,"2017","89,136","17"
,,"2018","128,729","18"
,,"2019","102,726","15"
,,"2020","150,376","15"
,,"2021","225,841","15"
,,"2022","181,242","17"
,,"2023","107,976","15"
,,"2024","117,201","15"
,"Paper manufacturing  [322]","2007","578,149","11"
,,"2008","754,744","12"
,,"2009","559,832","11"
,,"2010","638,883","10"
,,"2011","575,863","10"
,,"2012","191,860","7"
,,"2013","426,358","9"
,,"2014","453,356","9"
,,"2015","488,745","8"
,,"2016","396,773","8"
,,"2017","401,405","8"
,,"2018","486,570","8"
,,"2019","402,926","7"
,,"2020","176,273","7"
,,"2021","210,356","6"
,,"2022","285,711","7"
,,"2023","240,449","6"
,,"2024","280,489","6"
,"Printing and related support activities  [323]","2007","1,659","8"
,,"2008","1,045","12"
,,"2009","628","12"
,,"2010","537","13"
,,"2011","480","13"
,,"2012","310","10"
,,"2013","317","11"
,,"2014","170","5"
,,"2015","313","6"
,,"2016","340","8"
,,"2017","263","8"
,,"2018","164","9"
,,"2019","194","7"
,,"2020","113","5"
,,"2021","125","5"
,,"2022","702","7"
,,"2023","842","9"
,,"2024","636","6"
,"Petroleum and coal product manufacturing  [324]","2007","783","F"
,,"2008","27,041","F"
,,"2009","12,910","F"
,,"2010","8,831","F"
,,"2011","16,718","F"
,,"2012","15,589","F"
,,"2013","34,779","3"
,,"2014","23,419","F"
,,"2015","12","F"
,,"2016","4","F"
,,"2017","53","F"
,,"2018","380","F"
,,"2019","316","F"
,,"2020","7","F"
,,"2021","232","F"
,,"2022","364","F"
,,"2023","4","F"
,,"2024","..",".."
,"Chemical manufacturing  [325]","2007","80,036","18"
,,"2008","134,697","21"
,,"2009","126,759","21"
,,"2010","116,259","17"
,,"2011","107,912","15"
,,"2012","190,621","19"
,,"2013","112,278","16"
,,"2014","74,771","15"
,,"2015","79,859","14"
,,"2016","76,297","13"
,,"2017","87,387","15"
,,"2018","224,341","14"
,,"2019","84,772","18"
,,"2020","94,388","16"
,,"2021","117,987","16"
,,"2022","135,476","18"
,,"2023","119,558","18"
,,"2024","179,045","21"
,"Plastics and rubber products manufacturing  [326]","2007","1,005,408","21"
,,"2008","1,043,017","22"
,,"2009","952,396","22"
,,"2010","1,137,058","22"
,,"2011","1,259,404","23"
,,"2012","1,251,831","22"
,,"2013","1,107,164","20"
,,"2014","1,479,964","24"
,,"2015","1,553,518","25"
,,"2016","1,553,630","25"
,,"2017","1,534,131","26"
,,"2018","1,608,451","24"
,,"2019","1,674,490","22"
,,"2020","1,321,594","21"
,,"2021","1,592,214","22"
,,"2022","1,652,058","22"
,,"2023","1,707,814","24"
,,"2024","1,895,755","22"
,"Non-metallic mineral product manufacturing  [327]","2007","286","5"
,,"2008","339","6"
,,"2009","200","4"
,,"2010","195","7"
,,"2011","165","6"
,,"2012","63","4"
,,"2013","8,071","4"
,,"2014","7,254","5"
,,"2015","11,557","5"
,,"2016","14,225","6"
,,"2017","16,999","5"
,,"2018","9,984","6"
,,"2019","11,281","6"
,,"2020","10,055","4"
,,"2021","6,451","4"
,,"2022","30,072","5"
,,"2023","26,131","F"
,,"2024","29,824","5"
,"Primary metal manufacturing  [331]","2007","..",".."
,,"2008","10,485","F"
,,"2009","11,899","3"
,,"2010","7,571","F"
,,"2011","4,866","F"
,,"2012","9,921","F"
,,"2013","4,296","F"
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","153","F"
,,"2018","..",".."
,,"2019","7","F"
,,"2020","51","F"
,,"2021","..",".."
,,"2022","390","F"
,,"2023","..",".."
,,"2024","..",".."
,"Fabricated metal product manufacturing  [332]","2007","44,573","23"
,,"2008","40,908","24"
,,"2009","25,371","23"
,,"2010","18,357","24"
,,"2011","18,619","26"
,,"2012","15,584","20"
,,"2013","35,590","25"
,,"2014","24,226","23"
,,"2015","18,872","24"
,,"2016","17,458","19"
,,"2017","31,042","26"
,,"2018","35,760","27"
,,"2019","37,195","27"
,,"2020","21,868","27"
,,"2021","27,139","24"
,,"2022","34,760","22"
,,"2023","131,510","25"
,,"2024","94,632","28"
,"Machinery manufacturing  [333]","2007","91,529","21"
,,"2008","92,666","21"
,,"2009","82,270","21"
,,"2010","75,224","20"
,,"2011","95,236","19"
,,"2012","131,502","22"
,,"2013","225,283","24"
,,"2014","265,264","25"
,,"2015","295,247","22"
,,"2016","120,601","26"
,,"2017","91,771","24"
,,"2018","103,603","19"
,,"2019","122,379","22"
,,"2020","120,742","21"
,,"2021","148,368","24"
,,"2022","168,462","23"
,,"2023","134,639","24"
,,"2024","138,149","24"
,"Computer and electronic product manufacturing  [334]","2007","82,694","16"
,,"2008","106,337","18"
,,"2009","111,709","20"
,,"2010","114,921","21"
,,"2011","99,803","17"
,,"2012","86,363","18"
,,"2013","78,913","18"
,,"2014","110,632","18"
,,"2015","115,537","20"
,,"2016","114,125","18"
,,"2017","99,409","14"
,,"2018","100,551","17"
,,"2019","106,177","18"
,,"2020","90,618","16"
,,"2021","103,910","19"
,,"2022","143,485","23"
,,"2023","189,342","23"
,,"2024","169,854","23"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","22,604","6"
,,"2008","22,173","5"
,,"2009","19,739","5"
,,"2010","21,171","5"
,,"2011","25,211","6"
,,"2012","147,089","8"
,,"2013","25,778","7"
,,"2014","28,780","5"
,,"2015","25,222","5"
,,"2016","23,708","6"
,,"2017","26,596","5"
,,"2018","36,761","5"
,,"2019","54,081","7"
,,"2020","60,200","7"
,,"2021","50,111","9"
,,"2022","54,846","8"
,,"2023","72,130","8"
,,"2024","64,792","8"
,"Transportation equipment manufacturing  [336]","2007","51,562","27"
,,"2008","63,467","21"
,,"2009","98,832","20"
,,"2010","114,726","16"
,,"2011","55,007","15"
,,"2012","56,659","16"
,,"2013","59,547","15"
,,"2014","68,792","20"
,,"2015","72,983","13"
,,"2016","71,571","17"
,,"2017","61,912","16"
,,"2018","60,666","12"
,,"2019","75,527","14"
,,"2020","53,685","13"
,,"2021","43,563","18"
,,"2022","33,687","15"
,,"2023","44,844","20"
,,"2024","55,506","21"
,"Furniture and related product manufacturing  [337]","2007","17,152","11"
,,"2008","25,309","9"
,,"2009","16,954","9"
,,"2010","34,318","10"
,,"2011","1,221","8"
,,"2012","1,232","8"
,,"2013","2,330","6"
,,"2014","1,729","8"
,,"2015","3,112","8"
,,"2016","2,489","11"
,,"2017","2,039","6"
,,"2018","1,874","7"
,,"2019","2,182","6"
,,"2020","1,772","7"
,,"2021","3,515","6"
,,"2022","2,281","F"
,,"2023","283","F"
,,"2024","1,059","6"
,"Miscellaneous manufacturing  [339]","2007","18,569","20"
,,"2008","12,907","21"
,,"2009","5,144","21"
,,"2010","4,329","16"
,,"2011","3,851","13"
,,"2012","4,657","17"
,,"2013","3,182","22"
,,"2014","2,653","17"
,,"2015","3,058","17"
,,"2016","3,191","18"
,,"2017","3,323","20"
,,"2018","2,969","19"
,,"2019","3,637","20"
,,"2020","2,565","19"
,,"2021","4,082","18"
,,"2022","7,132","20"
,,"2023","12,290","23"
,,"2024","9,530","20"
,"Wholesale trade  [41]","2007","430,153","261"
,,"2008","477,118","257"
,,"2009","445,249","255"
,,"2010","481,078","230"
,,"2011","596,831","262"
,,"2012","499,987","253"
,,"2013","776,494","249"
,,"2014","864,010","261"
,,"2015","889,444","258"
,,"2016","970,416","258"
,,"2017","938,467","258"
,,"2018","1,006,331","261"
,,"2019","1,082,533","268"
,,"2020","1,166,146","248"
,,"2021","1,193,826","224"
,,"2022","1,221,407","233"
,,"2023","1,217,290","225"
,,"2024","1,130,146","227"
,"Retail trade  [44-45]","2007","12,530","105"
,,"2008","10,236","94"
,,"2009","15,022","100"
,,"2010","3,514","79"
,,"2011","4,242","81"
,,"2012","2,486","66"
,,"2013","3,302","62"
,,"2014","5,085","88"
,,"2015","7,257","85"
,,"2016","10,112","88"
,,"2017","11,555","86"
,,"2018","28,399","108"
,,"2019","36,804","104"
,,"2020","41,498","107"
,,"2021","52,137","101"
,,"2022","20,969","75"
,,"2023","19,376","81"
,,"2024","18,860","102"
,"Transportation and warehousing  [48-49]","2007","30,236","50"
,,"2008","40,257","49"
,,"2009","46,886","40"
,,"2010","286,647","32"
,,"2011","19,083","38"
,,"2012","230,506","33"
,,"2013","73,891","34"
,,"2014","45,885","39"
,,"2015","26,032","41"
,,"2016","40,321","46"
,,"2017","32,596","43"
,,"2018","46,001","40"
,,"2019","103,223","36"
,,"2020","48,558","38"
,,"2021","45,673","52"
,,"2022","74,125","57"
,,"2023","58,190","56"
,,"2024","36,897","51"
,"Information and cultural industries  [51]","2007","310","13"
,,"2008","129","8"
,,"2009","133","9"
,,"2010","98","8"
,,"2011","590","15"
,,"2012","1,249","13"
,,"2013","1,129","6"
,,"2014","1,932","10"
,,"2015","464","7"
,,"2016","583","12"
,,"2017","470","7"
,,"2018","910","8"
,,"2019","429","9"
,,"2020","250","6"
,,"2021","1,352","8"
,,"2022","530","8"
,,"2023","2,380","9"
,,"2024","2,737","10"
,"Finance and insurance  [52]","2007","1,037","9"
,,"2008","410","6"
,,"2009","518","7"
,,"2010","2,513","9"
,,"2011","2,192","5"
,,"2012","9,326","10"
,,"2013","7,860","7"
,,"2014","6,243","8"
,,"2015","6,269","8"
,,"2016","15,294","6"
,,"2017","45,267","7"
,,"2018","24,804","8"
,,"2019","17,099","8"
,,"2020","6,944","9"
,,"2021","18,577","8"
,,"2022","16,520","7"
,,"2023","5,393","6"
,,"2024","1,486","8"
,"Real estate and rental and leasing  [53]","2007","14,156","16"
,,"2008","17,648","11"
,,"2009","11,852","13"
,,"2010","11,288","10"
,,"2011","772","9"
,,"2012","2,817","12"
,,"2013","8,627","15"
,,"2014","12,565","16"
,,"2015","6,672","13"
,,"2016","12,079","14"
,,"2017","8,972","15"
,,"2018","48,277","16"
,,"2019","59,245","18"
,,"2020","19,425","10"
,,"2021","16,574","28"
,,"2022","1,642","19"
,,"2023","5,139","20"
,,"2024","4,086","17"
,"Professional, scientific and technical services  [54]","2007","19,840","39"
,,"2008","10,873","41"
,,"2009","11,971","34"
,,"2010","10,490","42"
,,"2011","12,784","38"
,,"2012","10,650","35"
,,"2013","12,903","38"
,,"2014","132,384","37"
,,"2015","7,548","34"
,,"2016","25,421","41"
,,"2017","16,042","48"
,,"2018","16,623","53"
,,"2019","21,955","67"
,,"2020","17,851","43"
,,"2021","23,990","58"
,,"2022","76,397","59"
,,"2023","27,697","60"
,,"2024","24,714","70"
,"Management of companies and enterprises  [55]","2007","4,413","7"
,,"2008","6,673","7"
,,"2009","78,256","8"
,,"2010","88,452","12"
,,"2011","40,864","10"
,,"2012","45,427","15"
,,"2013","272,323","15"
,,"2014","95,480","14"
,,"2015","53,593","12"
,,"2016","42,695","13"
,,"2017","65,972","16"
,,"2018","27,976","13"
,,"2019","16,954","11"
,,"2020","32,424","8"
,,"2021","10,921","5"
,,"2022","825","F"
,,"2023","40","F"
,,"2024","28","F"
,"Administrative and support, waste management and remediation services  [56]","2007","6,265","16"
,,"2008","3,245","18"
,,"2009","4,952","13"
,,"2010","2,201","15"
,,"2011","2,520","15"
,,"2012","710","16"
,,"2013","2,548","16"
,,"2014","9,335","13"
,,"2015","3,648","12"
,,"2016","1,112","8"
,,"2017","2,712","13"
,,"2018","2,811","13"
,,"2019","1,562","13"
,,"2020","3,940","13"
,,"2021","2,468","10"
,,"2022","5,183","10"
,,"2023","5,985","13"
,,"2024","5,636","13"
,"Educational services  [61]","2007","4,924","8"
,,"2008","8,084","9"
,,"2009","6,634","9"
,,"2010","8,680","4"
,,"2011","3,149","5"
,,"2012","7,022","7"
,,"2013","4,401","7"
,,"2014","7,724","9"
,,"2015","2,773","5"
,,"2016","5,685","4"
,,"2017","3,226","9"
,,"2018","5,000","5"
,,"2019","1,503","7"
,,"2020","1,397","7"
,,"2021","403","4"
,,"2022","215","5"
,,"2023","1,925","8"
,,"2024","1,169","7"
,"Health care and social assistance  [62]","2007","607","6"
,,"2008","749","6"
,,"2009","769","5"
,,"2010","761","4"
,,"2011","969","4"
,,"2012","1,061","6"
,,"2013","1,367","6"
,,"2014","1,178","5"
,,"2015","1,529","4"
,,"2016","1,632","4"
,,"2017","1,711","5"
,,"2018","2,199","9"
,,"2019","4,159","7"
,,"2020","4,664","8"
,,"2021","6,338","8"
,,"2022","5,529","6"
,,"2023","6,468","14"
,,"2024","226","13"
,"Arts, entertainment and recreation  [71]","2007","1,415","7"
,,"2008","1,708","9"
,,"2009","199","6"
,,"2010","110","4"
,,"2011","96","7"
,,"2012","712","6"
,,"2013","63","3"
,,"2014","389","9"
,,"2015","172","7"
,,"2016","140","8"
,,"2017","262","9"
,,"2018","522","17"
,,"2019","544","12"
,,"2020","153","9"
,,"2021","408","11"
,,"2022","134","11"
,,"2023","734","15"
,,"2024","452","18"
,"Accommodation and food services  [72]","2007","11,447","5"
,,"2008","6,827","8"
,,"2009","7,195","6"
,,"2010","9,834","5"
,,"2011","16,242","5"
,,"2012","14,361","4"
,,"2013","12,729","F"
,,"2014","12,518","4"
,,"2015","15,335","5"
,,"2016","20,153","3"
,,"2017","17,288","6"
,,"2018","7,061","5"
,,"2019","7,103","8"
,,"2020","53","3"
,,"2021","187","5"
,,"2022","227","F"
,,"2023","457","7"
,,"2024","1,011","8"
,"Other services (except public administration)  [81]","2007","5,640","31"
,,"2008","1,428","28"
,,"2009","414","19"
,,"2010","205","14"
,,"2011","4,942","23"
,,"2012","3,603","12"
,,"2013","2,296","16"
,,"2014","1,773","14"
,,"2015","970","18"
,,"2016","2,505","16"
,,"2017","3,496","14"
,,"2018","4,561","25"
,,"2019","1,651","28"
,,"2020","2,452","27"
,,"2021","2,816","35"
,,"2022","6,362","22"
,,"2023","1,390","27"
,,"2024","1,755","25"
,"Public administration  [91]","2007","1,942","3"
,,"2008","3,796","3"
,,"2009","2,677","4"
,,"2010","4,422","8"
,,"2011","3,570","5"
,,"2012","845","7"
,,"2013","758","4"
,,"2014","900","5"
,,"2015","1,348","6"
,,"2016","1,807","6"
,,"2017","1,060","6"
,,"2018","977","6"
,,"2019","926","4"
,,"2020","73","6"
,,"2021","63","F"
,,"2022","67","F"
,,"2023","265","5"
,,"2024","435","7"
"New Brunswick","All industries","2007","10,440,993","883"
,,"2008","11,518,372","874"
,,"2009","9,322,488","797"
,,"2010","11,928,597","766"
,,"2011","13,656,908","760"
,,"2012","14,345,879","765"
,,"2013","13,768,688","735"
,,"2014","12,461,223","718"
,,"2015","11,509,349","735"
,,"2016","10,383,868","728"
,,"2017","12,518,870","775"
,,"2018","12,512,775","786"
,,"2019","12,432,708","777"
,,"2020","10,229,111","772"
,,"2021","14,738,882","798"
,,"2022","18,405,435","809"
,,"2023","16,409,617","867"
,,"2024","16,906,504","842"
,"Agriculture, forestry, fishing and hunting  [11]","2007","296,301","105"
,,"2008","117,526","111"
,,"2009","116,395","110"
,,"2010","98,492","92"
,,"2011","88,053","100"
,,"2012","208,171","102"
,,"2013","325,598","97"
,,"2014","339,669","93"
,,"2015","418,433","81"
,,"2016","489,227","83"
,,"2017","95,782","88"
,,"2018","133,513","87"
,,"2019","79,780","91"
,,"2020","59,223","89"
,,"2021","118,417","85"
,,"2022","140,291","105"
,,"2023","176,467","105"
,,"2024","183,800","103"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","51,605","19"
,,"2008","248,011","18"
,,"2009","271,075","16"
,,"2010","477,353","15"
,,"2011","630,910","19"
,,"2012","535,325","18"
,,"2013","188,078","17"
,,"2014","263,532","18"
,,"2015","444,181","18"
,,"2016","44,980","16"
,,"2017","108,912","18"
,,"2018","56,105","16"
,,"2019","127,997","18"
,,"2020","72,853","19"
,,"2021","89,452","16"
,,"2022","91,127","17"
,,"2023","72,950","17"
,,"2024","85,191","17"
,"Oil and gas extraction  [211]","2007","..",".."
,,"2008","..",".."
,,"2009","31,963","F"
,,"2010","425,088","F"
,,"2011","405,373","F"
,,"2012","300,722","F"
,,"2013","149,679","F"
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Mining and quarrying (except oil and gas)  [212]","2007","49,893","17"
,,"2008","239,772","14"
,,"2009","237,367","13"
,,"2010","50,526","12"
,,"2011","219,953","15"
,,"2012","234,275","15"
,,"2013","38,391","15"
,,"2014","42,044","17"
,,"2015","50,861","16"
,,"2016","44,980","16"
,,"2017","67,226","16"
,,"2018","50,977","14"
,,"2019","54,962","14"
,,"2020","66,474","17"
,,"2021","80,310","14"
,,"2022","85,525","15"
,,"2023","68,675","13"
,,"2024","83,046","16"
,"Support activities for mining, and oil and gas extraction  [213]","2007","1,712","F"
,,"2008","8,239","4"
,,"2009","1,744","F"
,,"2010","1,739","F"
,,"2011","5,584","3"
,,"2012","328","F"
,,"2013","8","F"
,,"2014","221,488","F"
,,"2015","393,320","F"
,,"2016","..",".."
,,"2017","41,686","F"
,,"2018","5,128","F"
,,"2019","73,036","4"
,,"2020","6,379","F"
,,"2021","9,142","F"
,,"2022","5,602","F"
,,"2023","4,274","F"
,,"2024","2,145","F"
,"Utilities  [22]","2007","111,261","3"
,,"2008","109,607","6"
,,"2009","78,105","3"
,,"2010","76,057","6"
,,"2011","70,890","6"
,,"2012","51,964","4"
,,"2013","118,411","6"
,,"2014","178,597","7"
,,"2015","122,295","6"
,,"2016","241,162","6"
,,"2017","137,952","7"
,,"2018","81,001","8"
,,"2019","118,707","8"
,,"2020","123,680","9"
,,"2021","170,600","10"
,,"2022","261,623","6"
,,"2023","402,750","9"
,,"2024","193,086","11"
,"Construction  [23]","2007","12,378","39"
,,"2008","3,105","32"
,,"2009","41,601","26"
,,"2010","12,364","27"
,,"2011","5,168","24"
,,"2012","13,774","22"
,,"2013","5,276","17"
,,"2014","6,813","17"
,,"2015","6,121","22"
,,"2016","9,799","28"
,,"2017","6,225","27"
,,"2018","7,102","26"
,,"2019","8,539","37"
,,"2020","17,031","28"
,,"2021","9,819","40"
,,"2022","14,338","33"
,,"2023","23,366","34"
,,"2024","29,399","39"
,"Manufacturing  [31-33]","2007","9,334,692","345"
,,"2008","10,536,309","317"
,,"2009","8,461,603","310"
,,"2010","10,742,421","305"
,,"2011","11,832,834","285"
,,"2012","12,809,803","275"
,,"2013","12,117,891","282"
,,"2014","10,824,718","267"
,,"2015","9,568,349","269"
,,"2016","8,835,265","274"
,,"2017","11,275,908","285"
,,"2018","11,134,283","301"
,,"2019","10,995,539","290"
,,"2020","8,997,298","293"
,,"2021","13,242,734","280"
,,"2022","16,970,743","291"
,,"2023","14,891,501","304"
,,"2024","15,507,153","295"
,"Food manufacturing  [311]","2007","696,795","65"
,,"2008","814,362","63"
,,"2009","760,561","62"
,,"2010","811,852","64"
,,"2011","756,093","64"
,,"2012","675,314","63"
,,"2013","765,962","60"
,,"2014","1,025,266","61"
,,"2015","1,287,529","63"
,,"2016","1,195,772","62"
,,"2017","1,551,887","64"
,,"2018","1,596,560","65"
,,"2019","1,653,739","64"
,,"2020","1,355,828","63"
,,"2021","2,043,845","61"
,,"2022","1,771,840","63"
,,"2023","1,685,558","64"
,,"2024","2,042,547","62"
,"Beverage and tobacco product manufacturing  [312]","2007","48,702","F"
,,"2008","49,245","3"
,,"2009","43,061","F"
,,"2010","45,182","F"
,,"2011","45,063","F"
,,"2012","42,734","3"
,,"2013","527","F"
,,"2014","568","F"
,,"2015","635","F"
,,"2016","774","F"
,,"2017","807","3"
,,"2018","946","F"
,,"2019","1,122","F"
,,"2020","1,445","4"
,,"2021","1,883","4"
,,"2022","13,466","6"
,,"2023","13,066","5"
,,"2024","11,035","F"
,"Textile mills  [313]","2007","24,136","5"
,,"2008","3,404","5"
,,"2009","1,667","4"
,,"2010","524","3"
,,"2011","144","F"
,,"2012","45","F"
,,"2013","44","F"
,,"2014","51","F"
,,"2015","21","F"
,,"2016","74","F"
,,"2017","57","F"
,,"2018","67","F"
,,"2019","68","F"
,,"2020","138","F"
,,"2021","293","3"
,,"2022","244","F"
,,"2023","250","F"
,,"2024","380","F"
,"Textile product mills  [314]","2007","414","6"
,,"2008","248","4"
,,"2009","1,047","4"
,,"2010","1,200","5"
,,"2011","1,189","5"
,,"2012","1,471","6"
,,"2013","807","4"
,,"2014","1,106","5"
,,"2015","1,550","6"
,,"2016","1,853","7"
,,"2017","1,717","6"
,,"2018","1,759","6"
,,"2019","1,626","5"
,,"2020","1,286","5"
,,"2021","1,010","5"
,,"2022","568","5"
,,"2023","573","F"
,,"2024","493","F"
,"Apparel manufacturing  [315]","2007","1,116","3"
,,"2008","152","4"
,,"2009","184","F"
,,"2010","372","F"
,,"2011","290","F"
,,"2012","260","F"
,,"2013","224","F"
,,"2014","215","F"
,,"2015","304","F"
,,"2016","391","F"
,,"2017","784","3"
,,"2018","1,118","6"
,,"2019","894","F"
,,"2020","221","F"
,,"2021","..",".."
,,"2022","7","F"
,,"2023","2","F"
,,"2024","..",".."
,"Leather and allied product manufacturing  [316]","2007","128","F"
,,"2008","107","3"
,,"2009","112","F"
,,"2010","271","F"
,,"2011","339","F"
,,"2012","148","F"
,,"2013","160","F"
,,"2014","69","F"
,,"2015","125","F"
,,"2016","146","F"
,,"2017","95","F"
,,"2018","130","F"
,,"2019","115","F"
,,"2020","77","3"
,,"2021","97","F"
,,"2022","100","F"
,,"2023","78","F"
,,"2024","170","F"
,"Wood product manufacturing  [321]","2007","496,853","65"
,,"2008","339,732","49"
,,"2009","289,848","53"
,,"2010","371,856","55"
,,"2011","379,404","49"
,,"2012","390,228","47"
,,"2013","222,016","46"
,,"2014","323,788","40"
,,"2015","277,572","44"
,,"2016","542,322","45"
,,"2017","858,161","48"
,,"2018","887,366","48"
,,"2019","636,669","48"
,,"2020","856,194","46"
,,"2021","1,189,506","40"
,,"2022","1,168,175","41"
,,"2023","701,897","46"
,,"2024","725,989","46"
,"Paper manufacturing  [322]","2007","909,646","19"
,,"2008","1,056,868","19"
,,"2009","1,019,863","22"
,,"2010","1,141,037","20"
,,"2011","1,035,258","20"
,,"2012","975,734","19"
,,"2013","986,692","19"
,,"2014","1,079,151","17"
,,"2015","1,097,063","18"
,,"2016","1,104,788","17"
,,"2017","1,167,147","17"
,,"2018","1,283,523","15"
,,"2019","1,249,623","16"
,,"2020","1,175,328","15"
,,"2021","1,340,436","14"
,,"2022","1,534,870","15"
,,"2023","1,530,484","14"
,,"2024","1,670,148","14"
,"Printing and related support activities  [323]","2007","518","3"
,,"2008","207","4"
,,"2009","114","F"
,,"2010","129","F"
,,"2011","73","F"
,,"2012","71","F"
,,"2013","52","F"
,,"2014","57","3"
,,"2015","56","F"
,,"2016","97","F"
,,"2017","104","3"
,,"2018","77","F"
,,"2019","93","5"
,,"2020","39","F"
,,"2021","48","3"
,,"2022","142","F"
,,"2023","105","5"
,,"2024","57","F"
