"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2024","50,494,050","1,560"
,"Beverage and tobacco product manufacturing  [312]","2007","746,790","125"
,,"2008","797,474","130"
,,"2009","728,101","126"
,,"2010","765,346","137"
,,"2011","750,123","141"
,,"2012","843,406","142"
,,"2013","857,215","164"
,,"2014","810,861","180"
,,"2015","931,945","187"
,,"2016","966,651","207"
,,"2017","868,778","236"
,,"2018","1,039,333","236"
,,"2019","1,244,467","275"
,,"2020","1,341,021","243"
,,"2021","1,319,655","281"
,,"2022","1,399,567","304"
,,"2023","1,525,100","281"
,,"2024","1,614,703","293"
,"Textile mills  [313]","2007","887,272","221"
,,"2008","802,048","196"
,,"2009","898,506","181"
,,"2010","691,124","150"
,,"2011","695,547","145"
,,"2012","702,599","141"
,,"2013","850,878","142"
,,"2014","770,256","135"
,,"2015","1,523,635","125"
,,"2016","1,052,435","124"
,,"2017","1,112,687","118"
,,"2018","935,502","112"
,,"2019","954,071","113"
,,"2020","678,769","106"
,,"2021","825,577","114"
,,"2022","991,403","110"
,,"2023","1,081,908","105"
,,"2024","1,018,523","104"
,"Textile product mills  [314]","2007","547,967","288"
,,"2008","472,501","277"
,,"2009","359,266","254"
,,"2010","424,382","233"
,,"2011","474,698","246"
,,"2012","466,255","231"
,,"2013","484,734","214"
,,"2014","492,143","225"
,,"2015","887,946","204"
,,"2016","451,913","210"
,,"2017","435,261","211"
,,"2018","489,384","213"
,,"2019","370,856","197"
,,"2020","345,207","202"
,,"2021","372,293","196"
,,"2022","407,510","205"
,,"2023","410,361","193"
,,"2024","378,114","194"
,"Apparel manufacturing  [315]","2007","891,970","940"
,,"2008","647,865","796"
,,"2009","485,089","701"
,,"2010","477,300","595"
,,"2011","477,065","588"
,,"2012","520,294","614"
,,"2013","571,934","612"
,,"2014","634,536","622"
,,"2015","649,716","646"
,,"2016","656,354","617"
,,"2017","683,819","587"
,,"2018","981,494","590"
,,"2019","1,009,399","572"
,,"2020","727,706","498"
,,"2021","934,335","493"
,,"2022","980,060","484"
,,"2023","918,992","444"
,,"2024","970,486","432"
,"Leather and allied product manufacturing  [316]","2007","80,152","132"
,,"2008","75,223","119"
,,"2009","69,883","105"
,,"2010","91,024","98"
,,"2011","113,321","96"
,,"2012","118,544","104"
,,"2013","136,213","90"
,,"2014","167,859","88"
,,"2015","222,790","95"
,,"2016","186,352","85"
,,"2017","159,832","84"
,,"2018","119,811","74"
,,"2019","118,944","71"
,,"2020","75,344","71"
,,"2021","96,295","75"
,,"2022","156,729","71"
,,"2023","168,789","72"
,,"2024","157,166","75"
,"Wood product manufacturing  [321]","2007","10,150,068","1,264"
,,"2008","8,550,197","1,129"
,,"2009","6,054,776","1,012"
,,"2010","7,176,648","962"
,,"2011","9,175,948","918"
,,"2012","8,234,756","904"
,,"2013","9,371,339","877"
,,"2014","8,901,792","870"
,,"2015","9,880,753","881"
,,"2016","11,941,440","939"
,,"2017","12,775,149","891"
,,"2018","13,210,572","895"
,,"2019","11,041,914","904"
,,"2020","12,855,259","872"
,,"2021","22,166,532","891"
,,"2022","22,187,310","886"
,,"2023","15,167,353","888"
,,"2024","15,775,949","917"
,"Paper manufacturing  [322]","2007","14,853,451","509"
,,"2008","15,323,345","492"
