year,province,naics_6digit,emissions,synthetic
2023,Ontario,327310.0,708922.0966,False
2023,Alberta,327310.0,607265.585,False
2023,Ontario,221112.0,95798.62,False
2023,Nova Scotia,221112.0,1542328.251,False
2023,Alberta,221112.0,0.0,False
2023,FORT MCMURRAY,17630.0,0.0,False
2023,The Pas,2051.0,0.0,False
2023,Quebec,327410.0,0.0,False
2023,British Columbia,221112.0,0.0,False
2023,British Columbia,211110.0,0.0,False
2023,Saskatchewan,221112.0,901514.6357,False
2023,Alberta,211142.0,13661427.79,False
2023,Quebec,212210.0,0.0,False
2023,Ontario,324190.0,439417.0131,False
2023,Ontario,327310.0,989845.2493,False
2023,Ontario,562210.0,128536.7986,False
2023,Saskatchewan,212396.0,0.0,False
2023,Alberta,221112.0,1380653.382,False
2023,Ontario,324110.0,1126147.089,False
2023,Nipigon,10405.0,0.0,False
2023,Northwest Territories,211110.0,79742.47484,False
2023,Newfoundland and Labrador,325190.0,24085.70835,False
2023,British Columbia,322112.0,270169.9757,False
2023,Ontario,325110.0,840533.7802,False
2023,Ontario,325110.0,92775.5714,False
2023,Ontario,325210.0,62385.1557,False
2023,Alberta,325110.0,3294704.002,False
2023,Ontario,336110.0,88197.3382,False
2023,Ontario,221112.0,28703.54624,False
2023,Quebec,322112.0,129.2945,False
2023,Alberta,211141.0,0.0,False
2023,Alberta,322112.0,201342.8386,False
2023,Quebec,325110.0,69531.336,False
2023,Ontario,327310.0,596182.9793,False
2023,British Columbia,211110.0,0.0,False
2023,British Columbia,486210.0,1155492.85,False
2023,Nova Scotia,221112.0,877008.1881,False
2023,Nova Scotia,221112.0,501721.545,False
2023,Saskatchewan,221112.0,0.0,False
2023,British Columbia,322121.0,0.0,False
2023,Alberta,325190.0,254726.0062,False
2023,British Columbia,324110.0,120336.7634,False
2023,Alberta,211110.0,0.0,False
2023,Saskatchewan,221112.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Quebec,324110.0,1231933.61,False
2023,Quebec,324110.0,1245238.943,False
2023,Quebec,212232.0,157995.2209,False
2023,Alberta,221112.0,186426.9168,False
2023,Alberta,211110.0,304453.1803,False
2023,Winnipeg,0.0,0.0,False
2023,Alberta,221112.0,0.0,False
2023,New Brunswick,324110.0,3024574.058,False
2023,RICHMOND,0.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Ontario,325110.0,258995.9975,False
2023,Ontario,221112.0,397920.7187,False
2023,Ontario,211110.0,171898.4173,False
2023,Ontario,324110.0,765092.8276,False
2023,Ontario,324110.0,780960.3988,False
2023,Ontario,324110.0,1400323.731,False
2023,Ontario,221112.0,1113765.509,False
2023,Saskatchewan,486210.0,427635.4625,False
2023,Saskatchewan,221210.0,0.0,False
2023,Saskatchewan,325313.0,0.0,False
2023,Strathcona County,2963.0,0.0,False
2023,Alberta,221112.0,420930.1,False
2023,Alberta,211142.0,2648483.048,False
2023,Quebec,322112.0,78143.417,False
2023,Saskatchewan,221112.0,0.0,False
2023,Alberta,221112.0,1424761.936,False
2023,Alberta,211110.0,263484.6545,False
2023,Alberta,211110.0,176330.1917,False
2023,Alberta,324110.0,975710.8383,False
2023,Brandon,2515.0,0.0,False
2023,Quebec,322112.0,165793.64,False
2023,Ontario,327310.0,1028212.349,False
2023,Ontario,327310.0,574369.551,False
2023,Ontario,331110.0,254753.7319,False
2023,Ontario,331110.0,3781721.031,False
2023,Alberta,211110.0,0.0,False
2023,Edmonton,3707.0,0.0,False
2023,Manitoba,562210.0,0.0,False
2023, RR1,-114.5571,0.0,False
2023,Ontario,325313.0,0.0,False
2023,Newfoundland and Labrador,211110.0,149069.808,False
2023,Ontario,322112.0,142527.21,False
2023,Trail,0.0,0.0,False
2023,Saskatchewan,486210.0,0.0,False
2023,Nova Scotia,221112.0,832366.4138,False
2023,Nova Scotia,221112.0,1147711.548,False
2023,Ontario,221112.0,6705.206483,False
2023,Quebec,331313.0,925447.6653,False
2023,Quebec,331313.0,657778.1777,False
2023,Quebec,325181.0,0.0,False
2023,Quebec,212210.0,0.0,False
2023,Quebec,331313.0,517537.0838,False
2023,Quebec,322130.0,220614.5547,False
2023,Quebec,322122.0,0.0,False
2023,Quebec,331313.0,540841.5373,False
2023,Quebec,331313.0,513116.3781,False
2023,Ontario,562210.0,110911.722,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,211110.0,215444.3898,False
2023,Ontario,221112.0,12606.34035,False
2023,Alberta,325110.0,1203050.617,False
2023,Ontario,322112.0,106803.571,False
2023,British Columbia,211110.0,36392.37029,False
2023,Alberta,211110.0,125035.3481,False
2023,Ontario,221112.0,10069.16382,False
2023,Alberta,211141.0,0.0,False
2023,Alberta,324190.0,98926.2541,False
2023,Saskatchewan,324190.0,70281.8367,False
2023,Saskatchewan,211110.0,450838.6248,False
2023,Quebec,326210.0,21812.161,False
2023,Ontario,562210.0,14689.7849,False
2023,New Brunswick,322121.0,0.0,False
2023,Ontario,562210.0,195505.52,False
2023,Saskatchewan,211141.0,0.0,False
2023,Alberta,221112.0,40383.0375,False
2023,British Columbia,322112.0,0.0,False
2023,Ontario,562210.0,276493.2657,False
2023,Quebec,562210.0,195831.0656,False
2023,British Columbia,221210.0,144209.6125,False
2023,Ontario,562210.0,76740.76756,False
2023,Alberta,221112.0,17476.7759,False
2023,Newfoundland and Labrador,212210.0,0.0,False
2023,Ontario,312140.0,0.0,False
2023,Alberta,562210.0,13057.8431,False
2023,Saskatchewan,211110.0,30678.04942,False
2023,Newfoundland and Labrador,211110.0,272770.7431,False
2023,New Brunswick,322112.0,112216.4334,False
2023,Alberta,221112.0,270692.275,False
2023,Quebec,221112.0,0.0,False
2023,Ontario,562210.0,75811.946,False
2023,Alberta,212114.0,118202.402,False
2023,Ontario,325120.0,559336.659,False
2023,Alberta,325120.0,1246213.417,False
2023,Ontario,562210.0,105118.4842,False
2023,Ontario,562210.0,336824.7821,False
2023,Ontario,488190.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Quebec,331110.0,94550.64949,False
2023,Quebec,326140.0,37831.6281,False
2023,Alberta,211110.0,93408.09318,False
2023,Ontario,327214.0,78162.7467,False
2023,Alberta,325210.0,33954.93934,False
2023,Ontario,562210.0,172567.164,False
2023,Ontario,562110.0,12895.31561,False
2023,Alberta,221112.0,0.0,False
2023,Northwest Territories,212392.0,172618.694,False
2023,British Columbia,212233.0,184183.4542,False
2023,Saint John,2604.0,0.0,False
2023,British Columbia,212114.0,270105.6852,False
2023,Lloydminster,21547.0,0.0,False
2023,Alberta,211141.0,2333819.35,False
2023,Alberta,211141.0,919658.7577,False
2023,Ontario,331410.0,0.0,False
2023,British Columbia,212114.0,151357.611,False
2023,British Columbia,212114.0,165435.4247,False
2023,Quebec,562990.0,54665.48,False
2023,Ontario,221320.0,22310.3731,False
2023,Alberta,211141.0,234742.5971,False
2023,Ontario,221112.0,0.0,False
2023,Alberta,211142.0,41.5715,False
2023,Ontario,221112.0,98.944573,False
2023,Manitoba,325190.0,78977.88299,False
2023,Alberta,211141.0,601727.148,False
2023,Ontario,221112.0,807500.2761,False
2023,Alberta,211141.0,3075077.661,False
2023,Ontario,325190.0,28680.5183,False
